Index,time taken,MCES distance,status
776,20,0.02003932,4
777,6,0.755431414,1
778,61,0.061610699,4
779,19,0.015714169,4
780,38,0.04365325,4
781,15,0.054030418,4
782,17,0.034559488,4
783,31,0.015441179,4
784,23,0.018900871,4
785,20,0.036839485,4
786,65,0.043829203,4
787,13,0.033692122,4
788,17,0.015493155,4
789,34,0.046912432,4
790,74.5,0.049878597,4
791,50,0.03518796,4
792,24,0.031373501,4
793,10,0.022571087,2
794,29,0.027131796,4
795,5,3.608923435,1
796,35,0.018100023,4
797,21,0.031826735,4
798,75,0.059800625,4
799,18,0.020249367,4
800,10,2.25937438,1
801,43,0.059935331,4
802,15,0.120447397,4
803,9.5,0.373458862,1
804,23,0.037768364,4
805,6,0.14573288,1
806,14,0.003572226,4
807,44,0.058974981,4
808,16,0.102110147,4
809,12,0.090832949,4
810,10,2.23065877,2
811,10,0.065833092,2
812,37,0.039046049,4
813,32,0.089578867,4
814,38,0.038687229,4
815,27,0.023040056,4
816,3,0.254903793,1
817,8,6.903107643,1
818,2,1.710782528,1
819,8,2.061145544,1
820,39,0.056406736,4
821,4,2.232615948,1
822,29,0.052822113,4
823,33,0.046958685,4
824,27.5,0.024989367,4
825,22.5,0.030018091,4
826,30,0.013247252,4
827,37.5,0.033377886,4
828,2,0.8594203,1
829,22,0.039911985,4
830,32.5,0.02643466,4
831,23,0.021789074,4
832,33,0.030005217,4
833,41,0.06750226,4
834,9,0.999705553,1
835,32.5,0.024912834,4
836,15,0.20818758,4
837,19.5,0.102611065,4
838,24,0.025354385,4
839,17,0.051438332,4
840,88,0.070751429,4
841,33,0.130378723,4
842,23,0.067238808,4
843,11.5,0.009381771,4
844,36.5,0.022195578,4
845,31,0.067486048,4
846,15.5,0.065286875,4
847,68,0.215848684,4
848,22,0.160068035,4
849,39,0.034937382,4
850,10,1.163489103,1
851,57.5,0.092291117,4
852,33.5,0.088429689,4
853,18,0.076734066,4
854,12,0.010512829,4
855,25,0.044715405,4
856,29,0.128144503,4
857,28,0.020933628,4
858,49,0.06739831,4
859,19,0.070604801,4
860,10,0.954370499,2
861,18,0.008347988,4
862,64,0.058436871,4
863,37,0.130106926,4
864,13,0.008820772,4
865,20,0.20785141,4
866,10,0.939368963,2
867,21,0.051998854,4
868,15.5,0.030481577,4
869,51,0.060531378,4
870,15,0.074745893,4
871,46,0.064988852,4
872,18,0.024702787,4
873,8,0.617419481,1
874,33,0.045918703,4
875,67,0.064451456,4
876,7,3.785670996,1
877,24,0.039699078,4
878,31,0.020717859,4
879,33,0.069952488,4
880,55,0.073411703,4
881,44,0.046276093,4
882,51,0.101384878,4
883,16,0.008062601,4
884,26,0.072720528,4
885,19,0.078218937,4
886,45,0.063642502,4
887,43.5,0.020246744,4
888,23,0.03756094,4
889,26,0.037897348,4
890,7,0.302897453,1
891,20,0.015487194,4
892,36,0.138101101,4
893,21,0.085467577,4
894,50,0.078406572,4
895,30,0.121712446,4
896,17,0.051138163,4
897,42,0.130600214,4
898,28,0.117494583,4
899,18,0.009257078,4
900,16,0.004070282,4
901,19,0.026358843,4
902,22.5,0.022556782,4
903,23,0.038125515,4
904,8,1.622195482,1
905,20.5,0.369882345,4
906,2,3.590040922,1
907,27,0.026209593,4
908,15,0.019242764,4
909,48,0.072431087,4
910,12,0.001037359,4
911,10,0.15668416,1
912,41,0.043179035,4
913,9,0.169053316,1
914,12,0.009540319,4
915,35,0.079684734,4
916,8,0.119841337,1
917,35,0.047122955,4
918,13,0.016086102,4
919,73,0.039008856,4
920,23,0.010359764,4
921,12,0.011535645,4
922,87,0.349462271,4
923,5,0.148379564,1
924,34.5,0.039586544,4
925,52,0.071694374,4
926,8,0.155555248,1
927,52,0.081901789,4
928,23,0.040491581,4
929,19,0.029850721,4
930,108.5,0.249787092,4
931,30,0.090278625,4
932,47,0.119082689,4
933,13,0.021820545,4
934,51,0.079728603,4
935,129,0.272009373,4
936,9,0.241925478,1
937,9,0.240289211,1
938,16,0.022040844,4
939,17,0.022992611,4
940,40,0.049492359,4
941,18,0.024924755,4
942,53,0.065734863,4
943,5,0.611585855,1
944,45,0.064285755,4
945,21,0.011647701,4
946,35,0.016499281,4
947,45,0.102868319,4
948,26,0.095594645,4
949,56,0.104111671,4
950,14,0.048583269,4
951,28,0.05395627,4
952,14,0.004528046,4
953,19,0.034106493,4
954,39,0.029367447,4
955,18,0.003658295,4
956,10,0.204773903,1
957,9,0.028264761,1
958,10,0.061089993,1
959,30,0.042324305,4
960,17,0.004987001,4
961,51,0.017739773,4
962,7,0.135778904,1
963,27,0.025615454,4
964,22,0.001159906,4
965,54.5,0.067089081,4
966,31,0.010494232,4
967,26,0.037437439,4
968,13,0.009664536,4
969,19,0.01393342,4
970,15,0.022556543,4
971,12,0.063519716,4
972,25,0.038254261,4
973,68,0.078867197,4
974,28,0.013253927,4
975,27,0.020192385,4
976,19,0.022660732,4
977,29,0.035952806,4
978,27.5,0.040972471,4
979,39.5,0.016132355,4
980,8.5,0.089757204,1
981,38.5,0.012464523,4
982,51.5,0.071619749,4
983,1,2.173760176,1
984,1,1.839772224,1
985,1,1.952218533,1
986,1,1.62215662,1
987,1,1.473789692,1
988,10,1.663499594,1
989,10,2.484260798,1
990,2,1.6979146,1
991,50,0.077917814,4
992,3,0.538547993,1
993,26,0.013487577,4
994,59,0.036742687,4
995,11,0.009739637,4
996,25,0.080097914,4
997,3,0.569872618,1
998,3,0.835064173,1
999,10,0.969686508,2
