0,1,2,mass1,mass2,mass_diff
1512,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,562.8760000000002,562.8760000000004,2.2737367544323206e-13
1515,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@@]([H])(CO)COC(=O)CCCCCCCCCCCCC,590.9300000000001,590.9300000000002,1.1368683772161603e-13
1516,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,588.9140000000001,588.9140000000003,2.2737367544323206e-13
1525,[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/CCCCCC,[H]\C(CCCC)=C(/[H])CCCCCCCC(=O)OC[C@]([H])(CO)OC(=O)CCCCCCC\C([H])=C(\[H])CCCCCCCC,564.8920000000003,564.8920000000003,0.0
1534,[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,612.9359999999999,612.9360000000001,2.2737367544323206e-13
1541,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,576.9030000000001,576.9030000000004,2.2737367544323206e-13
1544,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,604.957,604.9570000000002,2.2737367544323206e-13
1545,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,602.9410000000001,602.9410000000004,2.2737367544323206e-13
1554,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,594.9620000000002,594.9620000000002,0.0
1563,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,643.0060000000001,643.0060000000003,2.2737367544323206e-13
