pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal,exact_distance
86976,CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(OC)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,610.873,609.557,1.316,2.091002464,0.002097607,22.5,2,0,0,0,10,"(0, 22.5, 0.002097606658935547, 2, 0, 10, 22.5, None, None, None, 0.0)",,lower_bound,0,1,22.5,,,,0,37.5
87058,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,793.312,793.312,4.55E-13,30.2303741,29.00687456,6,1,0,1,1,10,"(0, 6.0, 29.006874561309814, 1, 1, 10, 0.0, 0, 1.0, 0.0, 0)",,exact,1,0,0,0,1,0,0,6
88912,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC,[H][C@@](CO\C=C\CCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC,695.123,694.931,0.192,1.1399858,0.002992392,13,2,0,0,0,10,"(0, 13.0, 0.002992391586303711, 2, 0, 10, 13.0, None, None, None, 0.0)",,lower_bound,0,1,13,,,,0,24
91714,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@H](O)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,794.064,793.312,0.752,1.954946518,0.006151199,17,2,0,0,0,10,"(0, 17.0, 0.0061511993408203125, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17,,,,0,29
93324,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC,666.981,667.069,0.088,1.568272591,0.406180859,10.75,2,0,0,0,10,"(0, 10.75, 0.40618085861206055, 2, 0, 10, 7.0, 0, 10.75, 8.0, 0.0)",,lower_bound,0,1,7,0,10.75,8,0,12
93715,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCC,596.934,596.978,0.044,2.828774929,1.694262028,5,1,0,1,1,10,"(0, 4.999999999999771, 1.6942620277404785, 1, 1, 10, 3.0, 0, 3.25, 5.0, 0)",,exact,1,0,3,0,3.25,5,0,5
95805,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/[C@@H](O)CCCC)OC(=O)CCCCCCCCC(C)C,731.049,730.917,0.132,1.547259092,0.296615124,12,2,0,0,0,10,"(0, 12.0, 0.2966151237487793, 2, 0, 10, 10.0, 0, None, 12.0, 0.0)",,lower_bound,0,1,10,0,,12,0,15
97962,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC,723.177,723.177,0,7.526219606,6.311188221,4,1,0,1,1,10,"(0, 4.000000000000222, 6.311188220977783, 1, 1, 10, 0.0, 0, 1.0, 0.0, 0)",,exact,1,0,0,0,1,0,0,4
98151,OC1C(COC(=O)C=CC2=CC=C(O)C=C2)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C1O,OCC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C=C3OC(=CC(=O)C3=C2O)C2=CC=C(O)C=C2)C(O)C(O)C1O,594.525,594.522,0.003,1.586616755,0.275637388,11,2,0,0,0,10,"(0, 11.0, 0.2756373882293701, 2, 0, 10, 8.0, 0, None, 11.0, 0.0)",,lower_bound,0,1,8,0,,11,0,18
98889,CC1=CC(O)=C2C(O)=C3C(=O)C4C(O)C5C6C(O)C(C(=O)C7=C(O)C8=C(O)C=C(C)C(O)=C8C(=O)C467)C35C(=O)C2=C1O,CC(C)C1=C(C(O)=NC2=CC=CC=C2O)C(=C(N1CCC(O)CC(O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,574.494,574.649,0.155,1.197773695,0.003109932,16.5,2,0,0,0,10,"(0, 16.5, 0.0031099319458007812, 2, 0, 10, 16.5, None, None, None, 0.0)",,lower_bound,0,1,16.5,,,,0,42.5
99980,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC,CC1(C)C(CCC2(C=O)C1CCC1(C)C2CCC2C3=CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OCC(O)C(O)C1O)C(O)=O,779.285,778.933,0.352,1.373535395,0.002994299,25,2,0,0,0,10,"(0, 25.0, 0.0029942989349365234, 2, 0, 10, 25.0, None, None, None, 0.0)",,lower_bound,0,1,25,,,,0,36
101536,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCCCCCCC(C)C,737.204,737.116,0.088,1.539969921,0.387577295,14.5,2,0,0,0,10,"(0, 14.5, 0.3875772953033447, 2, 0, 10, 9.0, 0, 14.5, 10.0, 0.0)",,lower_bound,0,1,9,0,14,10,0,14
102018,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC,779.285,779.285,1.14E-13,19.73548579,18.50880957,6,1,0,1,1,10,"(0, 6.0, 18.508809566497803, 1, 1, 10, 1.0, 0, 2.5, 1.0, 0)",,exact,1,0,1,0,2.5,1,0,6
103781,[H]C(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(=O)OCCNC)OC(=O)CCCCCCC\C=C/CCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCC(O)\C=C\C=C\C\C=C\CC,728.005,728.989,0.984,4.502432346,3.311052322,10,2,0,1,1,10,"(0, 10, 3.3110523223876953, 2, 1, 10, 3.0, 0, 7.25, 5.0, 0)",,lower_bound,0,1,3,0,7.25,5,0,12
104071,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCC\C=C/C\C=C/C=C/[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,779.285,778.021,1.264,1.143941402,0.003023624,17,2,0,0,0,10,"(0, 17.0, 0.0030236244201660156, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17,,,,0,26
107766,CC(CCC(=O)NC(CCCNC(N)=O)C(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,CCCCCCCC(=O)OC[C@@H](O)COC(=O)CCC[C@H](O)[C@@H](O)\C=C/C=C\C=C\C=C\[C@H](O)C\C=C/CC,549.753,550.733,0.98,2.078764439,0.283292294,22,2,0,0,0,10,"(0, 22.0, 0.283292293548584, 2, 0, 10, 8.0, 0, None, 22.0, 0.0)",,lower_bound,0,1,8,0,,22,0,26
