pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal
85717,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,709.15,709.1499999999997,2.2737367544323206e-13,60,,,,1,0,,,,Exceeded 60 seconds,unknown,0,0,,,,,
86976,CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(OC)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,610.873,609.5570000000005,1.3159999999995762,1.6805620193481445,0.0021691322326660156,22.5,2,0,0,0,10,"(0, 22.5, 0.0021691322326660156, 2, 0, 10, 22.5, None, None, None, 0.0)",,lower_bound,0,1,22.5,,,,0.0
87058,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,793.3119999999997,793.3119999999992,4.547473508864641e-13,50.50523138046265,48.545389890670776,6.0,1,0,1,1,10,"(0, 6.0, 48.545389890670776, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0.0,0,0.0,0.0,0
88912,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC,[H][C@@](CO\C=C\CCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC,695.1229999999997,694.9309999999999,0.1919999999997799,3.3362929821014404,0.006983041763305664,13.0,2,0,0,0,10,"(0, 13.0, 0.006983041763305664, 2, 0, 10, 13.0, None, None, None, 0.0)",,lower_bound,0,1,13.0,,,,0.0
91714,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@H](O)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,794.064,793.3119999999997,0.7520000000002938,2.0460565090179443,0.0030248165130615234,17.0,2,0,0,0,10,"(0, 17.0, 0.0030248165130615234, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17.0,,,,0.0
93324,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC,666.9810000000001,667.0689999999998,0.08799999999973807,6.6134607791900635,4.826154708862305,10,2,0,1,1,10,"(0, 10, 4.826154708862305, 2, 1, 10, 7.0, 0, 0.0, 8.0, 0)",,lower_bound,0,1,7.0,0,0.0,8.0,0
93715,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCC,596.9340000000003,596.9780000000003,0.04399999999998272,7.087467908859253,1.9649746417999268,4.999999999999771,1,0,1,1,10,"(0, 4.999999999999771, 1.9649746417999268, 1, 1, 10, 3.0, 0, 0.0, 5.0, 0)",,exact,1,0,3.0,0,0.0,5.0,0
95805,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/[C@@H](O)CCCC)OC(=O)CCCCCCCCC(C)C,731.0489999999994,730.9169999999997,0.13199999999972079,2.0866005420684814,0.5318126678466797,12.0,2,0,0,0,10,"(0, 12.0, 0.5318126678466797, 2, 0, 10, 10.0, 0, None, 12.0, 0.0)",,lower_bound,0,1,10.0,0,,12.0,0.0
97962,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC,723.1769999999996,723.1769999999996,0.0,8.0516996383667,5.539618253707886,4.000000000000222,1,0,1,1,10,"(0, 4.000000000000222, 5.539618253707886, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0.0,0,0.0,0.0,0
98151,OC1C(COC(=O)C=CC2=CC=C(O)C=C2)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C1O,OCC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C=C3OC(=CC(=O)C3=C2O)C2=CC=C(O)C=C2)C(O)C(O)C1O,594.5250000000004,594.5220000000005,0.0029999999999290594,2.937925100326538,0.40523195266723633,11.0,2,0,0,0,10,"(0, 11.0, 0.40523195266723633, 2, 0, 10, 8.0, 0, None, 11.0, 0.0)",,lower_bound,0,1,8.0,0,,11.0,0.0
98889,CC1=CC(O)=C2C(O)=C3C(=O)C4C(O)C5C6C(O)C(C(=O)C7=C(O)C8=C(O)C=C(C)C(O)=C8C(=O)C467)C35C(=O)C2=C1O,CC(C)C1=C(C(O)=NC2=CC=CC=C2O)C(=C(N1CCC(O)CC(O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,574.4940000000004,574.6490000000003,0.15499999999997272,2.20835542678833,0.011526346206665039,16.5,2,0,0,0,10,"(0, 16.5, 0.011526346206665039, 2, 0, 10, 16.5, None, None, None, 0.0)",,lower_bound,0,1,16.5,,,,0.0
99980,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC,CC1(C)C(CCC2(C=O)C1CCC1(C)C2CCC2C3=CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OCC(O)C(O)C1O)C(O)=O,779.2849999999995,778.9330000000008,0.3519999999987249,2.0650246143341064,0.008858919143676758,25.0,2,0,0,0,10,"(0, 25.0, 0.008858919143676758, 2, 0, 10, 25.0, None, None, None, 0.0)",,lower_bound,0,1,25.0,,,,0.0
101536,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCCCCCCC(C)C,737.2039999999997,737.1159999999995,0.08800000000019281,7.539538621902466,5.984983921051025,10,2,0,1,1,10,"(0, 10, 5.984983921051025, 2, 1, 10, 9.0, 0, 0.0, 10.0, 0)",,lower_bound,0,1,9.0,0,0.0,10.0,0
102018,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC,779.2849999999996,779.2849999999997,1.1368683772161603e-13,36.99776339530945,34.77872276306152,6.0,1,0,1,1,10,"(0, 6.0, 34.77872276306152, 1, 1, 10, 1.0, 0, 0.0, 1.0, 0)",,exact,1,0,1.0,0,0.0,1.0,0
103781,[H]C(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(=O)OCCNC)OC(=O)CCCCCCC\C=C/CCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCC(O)\C=C\C=C\C\C=C\CC,728.0049999999997,728.9889999999999,0.9840000000002647,5.489807367324829,2.482696056365967,10,2,0,1,1,10,"(0, 10, 2.482696056365967, 2, 1, 10, 3.0, 0, 0.0, 5.0, 0)",,lower_bound,0,1,3.0,0,0.0,5.0,0
104071,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCC\C=C/C\C=C/C=C/[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,779.2849999999995,778.0209999999997,1.2639999999997826,1.574831247329712,0.003147125244140625,17.0,2,0,0,0,10,"(0, 17.0, 0.003147125244140625, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17.0,,,,0.0
107766,CC(CCC(=O)NC(CCCNC(N)=O)C(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,CCCCCCCC(=O)OC[C@@H](O)COC(=O)CCC[C@H](O)[C@@H](O)\C=C/C=C\C=C\C=C\[C@H](O)C\C=C/CC,549.7530000000004,550.7330000000002,0.9799999999997908,2.1746809482574463,0.42449069023132324,22.0,2,0,0,0,10,"(0, 22.0, 0.42449069023132324, 2, 0, 10, 8.0, 0, None, 22.0, 0.0)",,lower_bound,0,1,8.0,0,,22.0,0.0
